mat_cells,Young's Modulus,Poisson Ratio,Yield Strength,CTE,Thermal Conductivity,Density,Specific Heat Capacity,Enthalpy of Oxidation
0,160720565169.63852,0.3,597369926.7697728,1.0286561202879179e-05,21.94588013487846,8144.253673427582,522.6016882640785,346.61512372505854
1,162569519126.0608,0.3,602577797.2451943,1.0406692995671874e-05,22.011347550947058,8143.400928954335,520.724261918143,347.6907453761953
2,164758538677.04834,0.3,606711913.097019,1.0648749422334769e-05,22.074949004905356,8142.44225618156,518.8531590620836,349.0119583370329
3,167283330926.06815,0.3,609874703.3953346,1.0812163314058802e-05,22.133405198558524,8141.403726000271,517.1245619349795,350.6335253488247
4,170269288889.55496,0.3,611058338.8363944,1.0994288528748646e-05,22.179167790624316,8140.310604029514,515.6638931243714,352.36950229143184
5,173501207595.70975,0.3,611886488.8677661,1.1290244066207813e-05,22.20470549508235,8139.167674796915,514.5441616694446,354.27026117935253
6,176887359325.34265,0.3,612706186.2482226,1.1492825187621253e-05,22.204499764971114,8137.958473567771,513.7631355974089,356.26615756862225
7,180333887766.92578,0.3,613863556.2738845,1.1795484652166965e-05,22.176883309862717,8136.6401734788515,513.2546713614507,358.28098444228095
8,183758289385.37753,0.3,615676245.8062645,1.2089235614757773e-05,22.124696614791237,8135.169594513618,512.9270084001708,360.2238549425719
9,187068172219.6397,0.3,618351559.331059,1.2368042111946176e-05,22.054439870275377,8133.529914248915,512.7015613771333,362.02039913245414
10,189765415046.68564,0.3,719772333.7169572,1.262956816563568e-05,21.942668372909207,8132.274325216995,512.5302017032161,363.5863493597491
11,191956952243.0416,0.3,748449284.2041868,1.2867016148993207e-05,21.79251503043856,8131.541195317623,512.3908320915701,364.9263069339473
12,157014058213.38687,0.3,570746661.5028291,1.014822353258995e-05,22.065277848905637,8147.3343779444,526.8294807532229,344.41791935074025
13,156890499499.3683,0.3,568264036.972472,1.0138197287259593e-05,22.069742833505966,8147.462450756088,526.984697456922,344.3421962871308
14,156718790171.1716,0.3,562377943.0459443,1.0126839540819072e-05,22.07591868326967,8147.644394527452,527.203437716728,344.2381997586023
15,156496322929.6021,0.3,551685791.5275707,1.0112120789760881e-05,22.08388526584832,8147.887467093614,527.4927812957718,344.1031669365554
16,156246040221.00757,0.3,548689632.3959115,1.0094425853340867e-05,22.09327434103572,8148.185986121071,527.8448032888037,343.93282444804294
17,155994542941.0742,0.3,551270252.2855685,1.0075217253146616e-05,22.103240571309634,8148.518054481833,528.2321860690602,343.7370163007076
18,155748375949.98395,0.3,553542003.036705,1.0056543960665455e-05,22.11270006913251,8148.848649787727,528.6138560476438,343.54557672553545
19,155532589369.0037,0.3,555404601.2913342,1.0040240085658057e-05,22.120779695258015,8149.143815922443,528.9512448137049,343.3778229791243
20,155361158585.39334,0.3,556884045.6963105,1.0027287537563054e-05,22.12707632837813,8149.382858270799,529.2219231053087,343.24636699555197
21,155234898462.38126,0.3,557973504.4925476,1.0017747883824361e-05,22.131647486367616,8149.561584405989,529.422812592638,343.1504406751118
22,155146999581.7185,0.3,558731874.290608,1.0011106635063177e-05,22.134796360230162,8149.687329048187,529.563433934906,343.0840423398051
23,155088179273.58783,0.3,559239323.791226,1.0006662434004413e-05,22.136887988369637,8149.772072281767,529.6578845678333,343.03978666783746
24,155049852307.77554,0.3,559569958.6830586,1.0003766618809709e-05,22.138244115386936,8149.827545785087,529.719578085275,343.0110266193211
25,155025310313.69592,0.3,559781668.165544,1.0001912334812582e-05,22.139109667134147,8149.863172416644,529.7591444185113,342.9926425126021
26,155009770290.92352,0.3,559915720.1750146,1.0000738199758668e-05,22.139656592818234,8149.885773529987,529.7842228435463,342.9810145693184
27,155000000000.0,0.3,560000000.0000001,1e-05,22.14,8149.9,529.8,342.97370900000004
28,196230231199.99997,0.3,324873010.1999999,1.71e-05,27.95831,8237.953,509.1772876,250.07178999999996
29,196230231199.99997,0.3,324873010.1999999,1.71e-05,27.95831,8237.953,509.1772876,250.07178999999996
30,196230231199.99997,0.3,324873010.1999999,1.71e-05,27.95831,8237.953,509.1772876,250.07178999999996
31,196230231199.99997,0.3,324873010.1999999,1.71e-05,27.95831,8237.953,509.1772876,250.07178999999996
32,196230231199.99997,0.3,324873010.1999999,1.71e-05,27.95831,8237.953,509.1772876,250.07178999999996
33,196230231199.99997,0.3,324873010.1999999,1.71e-05,27.95831,8237.953,509.1772876,250.07178999999996
34,196230231199.99997,0.3,324873010.1999999,1.71e-05,27.95831,8237.953,509.1772876,250.07178999999996
35,196230231199.99997,0.3,324873010.1999999,1.71e-05,27.95831,8237.953,509.1772876,250.07178999999996
36,196230231199.99997,0.3,324873010.1999999,1.71e-05,27.95831,8237.953,509.1772876,250.07178999999996
37,196230231199.99997,0.3,324873010.1999999,1.71e-05,27.95831,8237.953,509.1772876,250.07178999999996
38,196230231199.99997,0.3,324873010.1999999,1.71e-05,27.95831,8237.953,509.1772876,250.07178999999996
39,196230231199.99997,0.3,324873010.1999999,1.71e-05,27.95831,8237.953,509.1772876,250.07178999999996
40,196230231199.99997,0.3,324873010.1999999,1.71e-05,27.95831,8237.953,509.1772876,250.07178999999996
41,196230231199.99997,0.3,324873010.1999999,1.71e-05,27.95831,8237.953,509.1772876,250.07178999999996
42,196230231199.99997,0.3,324873010.1999999,1.71e-05,27.95831,8237.953,509.1772876,250.07178999999996
43,196230231199.99997,0.3,324873010.1999999,1.71e-05,27.95831,8237.953,509.1772876,250.07178999999996
44,196230231199.99997,0.3,324873010.1999999,1.71e-05,27.95831,8237.953,509.1772876,250.07178999999996
45,196230231199.99997,0.3,324873010.1999999,1.71e-05,27.95831,8237.953,509.1772876,250.07178999999996
46,196230231199.99997,0.3,324873010.1999999,1.71e-05,27.95831,8237.953,509.1772876,250.07178999999996
47,196230231199.99997,0.3,324873010.1999999,1.71e-05,27.95831,8237.953,509.1772876,250.07178999999996
48,196230231199.99997,0.3,324873010.1999999,1.71e-05,27.95831,8237.953,509.1772876,250.07178999999996
49,196230231199.99997,0.3,324873010.1999999,1.71e-05,27.95831,8237.953,509.1772876,250.07178999999996
50,196230231199.99997,0.3,324873010.1999999,1.71e-05,27.95831,8237.953,509.1772876,250.07178999999996
51,196230231199.99997,0.3,324873010.1999999,1.71e-05,27.95831,8237.953,509.1772876,250.07178999999996
52,196230231199.99997,0.3,324873010.1999999,1.71e-05,27.95831,8237.953,509.1772876,250.07178999999996
53,196230231199.99997,0.3,324873010.1999999,1.71e-05,27.95831,8237.953,509.1772876,250.07178999999996
54,196230231199.99997,0.3,324873010.1999999,1.71e-05,27.95831,8237.953,509.1772876,250.07178999999996
55,196230231199.99997,0.3,324873010.1999999,1.71e-05,27.95831,8237.953,509.1772876,250.07178999999996
56,196230231199.99997,0.3,324873010.1999999,1.71e-05,27.95831,8237.953,509.1772876,250.07178999999996
57,196230231199.99997,0.3,324873010.1999999,1.71e-05,27.95831,8237.953,509.1772876,250.07178999999996
58,196230231199.99997,0.3,324873010.1999999,1.71e-05,27.95831,8237.953,509.1772876,250.07178999999996
59,196230231199.99997,0.3,324873010.1999999,1.71e-05,27.95831,8237.953,509.1772876,250.07178999999996
60,155000000000.0,0.3,560000000.0000001,1e-05,22.14,8149.9,529.8,342.97370900000004
61,157011422503.20023,0.3,570698415.4095547,1.0147997028441488e-05,22.065373038711055,8147.337079314576,526.8327646055159,344.41630653294555
62,160737595938.97043,0.3,597428381.7831817,1.0287668322389715e-05,21.946553610986093,8144.245648698669,522.5830791579491,346.62527199191885
63,166478434222.16595,0.3,609019225.2175041,1.0760238776488633e-05,22.116578430465257,8141.727279518168,517.6278211286011,350.1136133249571
64,174912352890.6077,0.3,612212148.8927532,1.1375218198281878e-05,22.20792509062395,8138.67026900676,514.1770645399922,355.1039814746141
65,185592833049.46442,0.3,617030320.2467335,1.2249027922374178e-05,22.087940579792967,8134.291630710343,512.7946766913025,361.2314345673434
66,195988285213.22794,0.3,785673877.4151069,1.3278794747943043e-05,21.503139386662813,8129.342937018425,512.1531878901549,367.5392464628057
67,203888067060.7482,0.3,837456225.674955,1.3823534775996853e-05,21.587053834042795,8119.506072718871,511.63563731609395,373.0460176830606
68,208442639900.0,0.3,885668999.8000001,1.42e-05,21.977058,8110.329999999999,511.261005,377.0200986
69,203947470000.0,0.3,885668975.9,1.42e-05,21.977058,8110.329999999999,511.261005,377.0200986
70,203629869809.22693,0.3,876123513.1472721,1.4201728975531848e-05,21.806012845976667,8111.596276771198,511.23415138824384,375.7725930186867
71,203321526126.29187,0.3,866731096.4408581,1.43e-05,21.639193402427544,8112.824678120766,511.20729484541516,374.5087363894439
72,203021225336.96024,0.3,857492415.7953954,1.43e-05,21.476255386967903,8114.020934473181,511.1804332887844,373.2502580665997
73,202727902876.4094,0.3,848407277.4688776,1.43e-05,21.316897399796918,8115.188262963188,511.1535774190746,371.99536713598303
74,202440620822.87814,0.3,839473988.7983611,1.4333744462787738e-05,21.16085980733106,8116.331970129838,511.12674872731696,370.7282511821241
75,202159480363.74738,0.3,830675405.3877448,1.44e-05,21.007908684434867,8117.455932919177,511.09989553799466,369.4676415334998
76,201876826331.11197,0.3,822104125.7019949,1.44e-05,20.85784594330114,8118.563779342479,511.0730357567454,368.19544473665286
77,201544991252.5694,0.3,814474143.7904195,1.4468184367760316e-05,20.70477105624407,8119.638704025299,511.04618886067595,366.90998987624204
78,201186464753.3772,0.3,807360800.2638396,1.45e-05,20.595636806297765,8120.886212928361,511.01938322683884,365.6130401564458
79,200833018503.77838,0.3,800299026.9972905,1.458757822360852e-05,20.650805743394905,8122.891702135165,510.99268720864984,364.3026319231202
80,200481220823.44583,0.3,793313429.0530722,1.46e-05,20.746983492785596,8125.086898211041,510.96601121092897,363.00003060631354
81,200130650237.86188,0.3,786390111.9350847,1.4693175823152326e-05,20.8378680257858,8127.2456880799255,510.9393297620221,361.7023072907185
82,199780917911.5631,0.3,779513364.1722628,1.48e-05,20.926711977615053,8129.385907290784,510.91264448196097,360.3857208768227
83,199431665262.27435,0.3,772665520.7867179,1.48023621336241e-05,21.013446255809964,8131.509701321409,510.8859202135153,359.0797678066391
84,199082558761.00485,0.3,765826785.333501,1.49e-05,21.098007631958673,8133.615868133026,510.85919229934706,357.7756421383119
85,198733288976.63654,0.3,758974601.9871972,1.4910736177917883e-05,21.18033781481916,8135.707873235688,510.83245478314296,356.44661855805936
86,198383570490.07193,0.3,752082071.8015226,1.5039693970463913e-05,21.260383453425526,8137.785130369656,510.80568030301265,355.1376510565115
87,198033140871.69086,0.3,745117390.4508816,1.51e-05,21.33809783886415,8139.84979931966,510.77891974756255,353.85211552889916
88,197681759165.0911,0.3,738041676.510043,1.5147214473789229e-05,21.413440150409315,8141.900443922327,510.75216460899287,352.60106557569117
89,197329205720.4236,0.3,730806606.1122144,1.52e-05,21.486372973740195,8143.940447274428,510.72538307371656,351.35549225830266
90,196975280037.277,0.3,723350032.3783679,1.525535426822829e-05,21.556865793800736,8145.967779848316,510.6985754025134,350.0744628557184
91,196619801447.37845,0.3,715589512.0690296,1.538609946954656e-05,21.6248903074202,8147.984124699957,510.6717494364079,348.7631749122172
92,196262607514.80392,0.3,707411165.9344845,1.54e-05,21.690421355071393,8149.990417257574,510.6449216046024,347.4343264555637
93,195903553974.4928,0.3,698649122.5240239,1.5485683059169775e-05,21.753437207217296,8151.987266436925,510.6180910528426,346.09283464926875
94,195542512783.1606,0.3,689044034.4218417,1.5599497734272856e-05,21.81392526186009,8153.972720701828,510.5912224782151,344.76643155230096
95,195179372572.01382,0.3,678146375.7263722,1.5600218055255496e-05,21.8720554491253,8155.947615435104,510.56434778087424,343.42765605899604
96,194814038578.60968,0.3,665057972.4031681,1.57e-05,21.946095543578284,8157.717830667939,510.53743153268294,342.0801719748699
97,194437784574.98944,0.3,645941625.1629497,1.570883420631692e-05,22.05803913071167,8159.0677970986635,510.5104733762758,340.75121315188187
98,194159787309.0554,0.3,614506427.6143215,1.58e-05,22.16401743114455,8160.430628455653,510.4834716680061,339.4124645880346
99,194152432705.00208,0.3,605073126.0492649,1.5826696249438668e-05,22.265561043255836,8161.787889095582,510.4564496443438,338.0436962971375
